ID,First Name,Last Name,Email,Price,Quantity,Total Spend
69656,Matt,Jackson,Matt.Jackson.6352@gmail.com,0.71,64,45.44
72776,Ann,Chen,Ann.Chen.4567@gmail.com,89.62,31,2778.22
851058,Ann,Williams,Ann.Williams.3942@gmail.com,5.02,10,50.2
83944,George,Peterson,George.Peterson.1466@gmail.com,4.36,8,34.88
19112,George,Williams,George.Williams.4842@gmail.com,25.92,81,2099.52
12280,Sam,Lee,Sam.Lee.674@gmail.com,5.58,75,418.5
92472,Ann,Jackson,Ann.Jackson.2708@gmail.com,15.97,17,271.49
159107,Matt,Peterson,Matt.Peterson.406@gmail.com,95.94,96,9210.24
91716,Ann,Jackson,Ann.Jackson.4620@gmail.com,94.56,54,5106.24
53129,Ann,Williams,Ann.Williams.5131@gmail.com,96.96,54,5235.84
38479,Matt,Williams,Matt.Williams.5693@gmail.com,80.44,80,6435.2
62959,George,Jackson,George.Jackson.5488@gmail.com,38.69,68,2630.92
18972,Matt,Williams,Matt.Williams.1606@gmail.com,26.55,77,2044.35
85546,Sam,Peterson,Sam.Peterson.6347@gmail.com,40.19,25,1004.75
75182,Ann,Williams,Ann.Williams.8266@gmail.com,38.39,85,3263.15
19743,Jennifer,Jackson,Jennifer.Jackson.9350@gmail.com,97.69,21,2051.49
73968,Sam,Jackson,Sam.Jackson.3776@gmail.com,94.61,6,567.66
76197,Ann,Peterson,Ann.Peterson.339@gmail.com,98,26,2548
48731,George,Jackson,George.Jackson.8117@gmail.com,58.59,17,996.03
14653,Matt,Peterson,Matt.Peterson.2935@gmail.com,39.59,40,1583.6
66512,Ann,Jackson,Ann.Jackson.7703@gmail.com,53.62,48,2573.76
761077,Sam,Williams,Sam.Williams.2115@gmail.com,95.87,94,9011.78
72783,Sam,Peterson,Sam.Peterson.924@gmail.com,43.67,70,3056.9
100137,Matt,Peterson,Matt.Peterson.978@gmail.com,58.42,34,1986.28
41982,Matt,Lee,Matt.Lee.2610@gmail.com,83.01,27,2241.27
35425,George,Chen,George.Chen.7766@gmail.com,42.39,49,2077.11
19714,Sam,Chen,Sam.Chen.6942@gmail.com,77.35,16,1237.6
30656,George,Peterson,George.Peterson.2491@gmail.com,44.61,9,401.49
27449,Sam,Jackson,Sam.Jackson.227@gmail.com,34.42,88,3028.96
69813,Matt,Jackson,Matt.Jackson.2508@gmail.com,65.4,91,5951.4
710747,George,Williams,George.Williams.5297@gmail.com,50.74,89,4515.86
66588,Sam,Peterson,Sam.Peterson.283@gmail.com,83.25,2,166.5
